name,quantity_in_packages,type,expiry_date,dosage,usage,added_on
Digoxin,1,tablet,02/10/2026,0.25mg,2 tablets daily,06/12/2024
Digoxin,3,tablet,07/07/2024,1g,1 tablet after meals,19/06/2024
Digoxin,6,tablet,18/04/2026,500mg,2 tablets daily,27/10/2023
Digoxin,2,tablet,27/10/2027,0.25mg,1 injection every 8 hours,19/10/2023
Digoxin,10,tablet,19/03/2026,100mg,2 tablets daily,26/06/2024
Digoxin,6,tablet,02/07/2026,10mg,1 drop in each eye twice daily,13/02/2024
Digoxin,1,tablet,14/04/2025,5mg,1 injection every 8 hours,25/09/2023
Losartan,10,tablet,20/12/2025,250mg,Apply externally twice a day,08/04/2025
Losartan,6,tablet,14/01/2023,0.25mg,1 injection every 8 hours,06/01/2025
Losartan,3,tablet,26/04/2025,0.25mg,10ml before bedtime,20/08/2023
Losartan,4,tablet,24/10/2027,10mg,2 tablets daily,23/10/2024
Losartan,3,tablet,21/08/2027,10mg,10ml before bedtime,31/05/2025
Losartan,6,tablet,18/01/2026,10mg,1 tablet after meals,14/05/2025
Losartan,10,tablet,12/01/2025,1g,1 inhalation every 4 hours,01/11/2023
Losartan,8,tablet,23/04/2026,1g,Apply externally twice a day,11/03/2024
Losartan,3,tablet,10/09/2027,20mg,1 inhalation every 4 hours,21/10/2023
Losartan,6,tablet,24/08/2026,5ml,Apply externally twice a day,28/10/2024
Losartan,10,tablet,08/12/2027,0.25mg,1 tablet every 6 hours,10/03/2025
Losartan,7,tablet,04/06/2026,20mg,1 drop in each eye twice daily,20/05/2025
Losartan,7,tablet,27/08/2026,0.25mg,1 capsule daily after breakfast,19/09/2023
Losartan,10,tablet,09/08/2026,20mg,Apply externally twice a day,02/05/2024
Losartan,9,tablet,21/07/2024,250mg,1 inhalation every 4 hours,19/04/2025
Lisinopril,3,tablet,07/03/2025,5mg,1 tablet every 6 hours,17/01/2025
Lisinopril,2,tablet,25/11/2027,10mg,1 drop in each eye twice daily,08/02/2024
Lisinopril,5,tablet,01/02/2027,100mg,1 injection every 8 hours,08/05/2024
Lisinopril,9,tablet,04/12/2027,5mg,Apply externally twice a day,06/03/2024
Lisinopril,6,tablet,22/08/2027,100mg,10ml before bedtime,07/08/2024
Lisinopril,2,tablet,25/03/2027,5mg,1 inhalation every 4 hours,14/12/2024
Lisinopril,1,tablet,18/02/2026,500mg,1 tablet after meals,06/02/2024
Lisinopril,5,tablet,11/06/2027,250mg,1 capsule daily after breakfast,07/10/2023
Lisinopril,5,tablet,10/04/2027,100mg,1 drop in each eye twice daily,16/11/2024
Vitamin C,2,tablet,04/02/2025,250mg,Apply externally twice a day,20/04/2024
Vitamin C,6,tablet,15/12/2026,100mg,2 tablets daily,05/03/2025
Vitamin C,2,tablet,13/07/2026,0.25mg,1 injection every 8 hours,22/04/2024
Vitamin C,1,tablet,24/05/2027,10mg,10ml before bedtime,21/04/2025
Vitamin C,4,tablet,09/05/2026,250mg,1 tablet every 6 hours,22/10/2024
Vitamin C,6,tablet,19/02/2027,250mg,1 drop in each eye twice daily,08/05/2025
Vitamin C,3,tablet,27/10/2023,10ml,1 inhalation every 4 hours,19/11/2023
Vitamin C,6,tablet,25/12/2025,5ml,Apply externally twice a day,14/09/2024
Vitamin C,3,tablet,13/07/2026,1000IU,1 drop in each eye twice daily,08/01/2024
Vitamin C,10,tablet,05/12/2027,250mg,1 drop in each eye twice daily,13/10/2023
Vitamin C,5,tablet,28/11/2027,100mg,10ml before bedtime,24/02/2025
Vitamin C,1,tablet,02/02/2025,5mg,Apply externally twice a day,08/12/2024
Vitamin C,7,tablet,25/12/2027,10mg,1 tablet every 6 hours,25/11/2024
Vitamin C,8,tablet,12/08/2027,0.25mg,Apply externally twice a day,01/05/2024
Vitamin C,10,tablet,15/10/2025,100mg,1 injection every 8 hours,12/06/2025
Vitamin C,3,tablet,08/09/2026,10ml,1 inhalation every 4 hours,12/08/2023
Diazepam,4,tablet,22/11/2026,5mg,1 tablet after meals,19/06/2024
